timestamp,stern,regression,database,cloud,api,season,terminal,python,machinelearning,statistics,mathematics,datavisualization,business,communication,fruit
1,Finance,Yes,No,No,No,Summer,4,6,4,7,9,6,7,7,Apples
2,Finance,Yes,Yes,Yes,Yes,Fall,5,1,1,6,8,6,8,10,Oranges
3,Finance,Yes,No,No,No,Summer,1,5,1,5,8,1,6,8,Apples
4,Statistics,Yes,Yes,Yes,Yes,Summer,3,5,1,8,7,6,6,7,Apples
5,Information System,Yes,Yes,Yes,Yes,Fall,2,5,1,6,5,1,8,8,Oranges
6,Statistics,Yes,No,No,No,Fall,2,1,1,3,7,2,6,8,Oranges
7,Finance,Yes,No,Yes,No,Summer,1,6,1,8,8,5,8,9,Oranges
8,Finance,Yes,Yes,No,No,Summer,1,5,1,7,7,4,8,8,Apples
9,Finance,No,No,No,No,Fall,2,5,1,7,9,9,9,9,Oranges
10,Finance,Yes,No,No,No,Summer,1,1,1,5,7,2,6,6,Apples
11,Statistics,Yes,Yes,No,No,Spring,1,1,1,6,6,6,7,8,Oranges
12,,Yes,No,No,No,Summer,1,2,1,7,9,6,7,7,Apples
13,Information System,Yes,Yes,No,Yes,Fall,1,8,2,7,7,7,10,10,Oranges
14,Marketing,No,No,No,No,Fall,1,1,1,1,3,5,7,7,Oranges
15,NYU Shanghai Finance,Yes,No,No,No,Winter,1,1,1,5,6,5,6,6,Apples
16,Accounting,No,Yes,No,No,Fall,2,6,1,6,8,4,8,9,Oranges
17,Information System,Yes,No,Yes,No,Spring,1,5,1,8,7,8,8,8,Apples
18,Information System,No,No,No,No,Spring,1,1,1,6,6,1,1,6,Oranges
19,Information System,Yes,Yes,No,No,Spring,1,1,1,8,8,6,9,9,Apples
20,Information System,No,No,No,No,Spring,7,5,2,4,6,8,9,9,Apples
21,Information System,Yes,No,No,No,Fall,7,8,1,8,9,5,8,9,Oranges
22,Information System,No,Yes,Yes,Yes,Winter,4,7,1,5,8,5,7,7,Apples
23,Marketing,Yes,No,No,No,Fall,1,6,1,7,7,6,7,8,Oranges
24,Marketing,Yes,No,No,No,Fall,1,1,1,5,5,1,8,8,Apples
25,Information System,Yes,No,Yes,Yes,Winter,4,4,1,5,6,3,8,8,Apples
26,Business and Economic Strategy in Gallatin,No,No,No,No,Spring,2,3,1,5,7,7,7,7,Oranges
27,Operations,No,No,No,No,Fall,1,1,1,5,5,1,8,9,Apples
28,Finance,Yes,No,No,No,Fall,4,1,5,7,8,6,6,6,Oranges
29,Management and Organizations,Yes,Yes,No,No,Fall,7,8,4,8,7,5,9,9,Oranges
30,Statistics,Yes,Yes,No,No,Summer,3,1,1,6,8,7,8,6,Oranges
31,Marketing,Yes,Yes,No,Yes,Spring,2,1,2,8,7,9,9,9,Apples
32,Information System,No,No,No,No,Spring,1,1,1,3,5,1,5,8,Apples
33,And information systems!,Yes,Yes,No,No,Spring,1,1,1,7,7,1,3,4,Oranges
34,Economics,No,No,No,No,Fall,1,6,1,5,8,1,7,7,Oranges
35,Information System,No,No,Yes,Yes,Spring,7,5,3,6,7,7,8,8,Oranges
36,Finance,Yes,No,No,Yes,Fall,1,3,1,7,7,5,7,7,Oranges
37,Finance,No,No,No,No,Summer,1,1,1,6,8,1,9,8,Apples
38,Finance,Yes,Yes,No,Yes,Fall,4,5,2,5,6,5,8,5,Apples
39,Business & Political Economy,Yes,Yes,No,Yes,Spring,1,1,1,5,5,2,8,9,Apples
40,Finance,No,No,Yes,No,Summer,3,6,3,8,9,7,8,8,Apples
41,,Yes,No,No,No,Fall,1,2,1,3,6,1,2,3,Apples
