user,variable1,variable2
parallelconcerned,145.391881,-6.081689
driftmvc,145.7887,-5.207083
snowdonevasive,144.295861,-5.826789
cobolglaucous,146.726242,-6.569828
stylishmugs,147.22005,-9.443383
hypergalaxyfibula,143.669186,-3.583828
pipetsrockers,-45.425978,61.160517
bracesworkable,-51.678064,64.190922
spiritedjump,-50.689325,67.016969
barnevidence,-68.703161,76.531203
emeraldclippers,-18.072703,65.659994
maintainwiggly,-14.401389,65.283333
submittedwavelength,-15.227222,64.295556
clucklinnet,-17.425978,65.952328
bluetailgodwottery,-23.135278,66.058056
microwavejar,-22.605556,63.985
croutonwrack,-23.965,65.555833
submittedwavelength,-21.940556,64.13
moderatohorn,-18.916667,66.133333
heaterinert,-20.278875,63.424303
micaassistant,-84.509445,46.485001
gaudyfea,-97.0325,50.056389
turnoverlovesick,-63.499444,44.639721
amuckpoints,-56.083056,51.391944
allegatorwafers,-125.7725,49.082222
expecteffective,-89.808056,68.534444
mincegaiters,-68.204444,49.1325
peacefulceaseless,-70.996391,48.330555
decanterbalance,-96.077778,64.298889
synonympatisserie,-125.270833,49.950832
starbucksbluetail,-99.951944,49.91
pipeathlete,-105.138333,69.108055
radicandoceanic,-123.870167,49.052333
somethingalbedo,-117.6325,49.296389
craytugofwar,-65.449167,47.007778
pipetsrockers,-66.330278,47.990833
unbalancedprotoplanet,-115.143889,67.816667
emeraldclippers,-111.445278,52.075001
ischemicfrosted,-121.93889,49.152779
binomialapathetic,-68.516667,70.486111
stairsgobsmacked,-83.359444,64.193333
ledgeindeed,-139.127778,64.043056
badgefields,-139.040556,61.371111
synonympatisserie,-120.511389,49.468056
worldlyventuri,-57.391388,49.210833
globeshameful,-130.032222,58.422222
alloweruptions,-100.0525,51.100834
burritoscarriage,-120.183,55.742333
grabbig,-113.579722,53.309723
dronessomersault,-94.070833,61.094166
latticelaboratory,-102.965833,49.210278
ellipticalfabricator,-116.465,53.578888
amuckpoints,-85.814167,79.994722
guavaconfide,-133.482778,68.304167
fundingticket,-68.555832,63.75639
croutonwrack,-66.537222,45.868889
elatedunicorn,-69.097222,48.746111
freelysociable,-101.681667,54.678055
loindecorate,-113.689722,61.180832
micaassistant,-121.236525,61.760153
dweebspices,-76.596944,44.225277
latticelaboratory,-77.704167,53.625278
babyambitious,-64.478611,48.775278
specifiedinnovative,-86.939445,49.778332
colonclipper,-61.778056,47.424721
pipeathlete,-102.31139,52.816666
cranesurgeon,-92.744167,49.831667
belchedsodding,-117.806111,70.762778
actuallyfoot,-95.849722,68.635556
horsesmultiply,-79.935,43.173611
microwavejar,-73.416944,45.5175
snaildossier,-115.782778,60.839722
globeshameful,-63.50861,44.880833
eontop,-91.638611,48.773888
tendonwench,-77.966667,72.683334
flakyunlawful,-73.281111,45.294445
twitequiver,-58.549999,48.544167
showerspain,-120.444444,50.702222
figsql,-80.378611,43.460833
barnevidence,-66.805278,54.805278
shrillbanjos,-109.180833,51.5175
maintainwiggly,-79.37,43.862221
fundingticket,-83.346667,47.82
planktonuses,-108.522778,54.125278
elatedunicorn,-110.0725,53.309166
agenascientists,-62.280556,82.517778
barnevidence,-119.377778,49.956112
swankythough,-135.868333,63.616389
paddlevacuole,-105.559167,50.330278
stairsgobsmacked,-111.221944,56.653333
flickcanapes,-80.607778,51.291111
unicyclistamiable,-75.990556,46.272778
hypergalaxyfibula,-74.005278,45.681944
mtvgrosbeak,-61.789167,50.19
wordsundress,-75.563589,45.521694
ledgeindeed,-77.802778,49.761667
moderatohorn,-139.839167,67.570556
alloweruptions,-110.279444,54.404999
surmiseteenagers,-117.164722,58.621389
somethingalbedo,-75.669167,45.3225
somethingalbedo,-105.672778,53.214167
hoursethanoate,-117.447222,56.226944
looroasting,-98.273889,49.903056
lymphomamellow,-122.71,49.21611
stylishmugs,-90.214167,51.446388
dampedbrioche,-64.288611,49.836389
craytugofwar,-78.363333,44.23
unguardedgiant,-130.444722,54.28611
wordsundress,-111.117222,58.767223
unbalancedprotoplanet,-79.303333,44.974722
epsiloncloning,-71.393333,46.791111
ytterbiumprovincial,-113.894444,52.182222
disjointtoday,-82.955556,42.275556
gogglesknacker,-128.8225,60.116389
croutonwrack,-94.363056,49.788334
bashrower,-112.799722,49.630278
bunchmeats,-64.678611,46.112221
binomialapathetic,-124.886667,49.710833
behaveterminal,-104.665833,50.431944
wonderfulscullian,-89.323889,48.371944
sortinterior,-118.885,55.179722
loindecorate,-102.461667,51.264721
paddlevacuole,-108.24361,52.769167
hoovessquares,-54.568056,48.936944
hoovessquares,-60.047779,46.161388
musicalchampagne,-122.510278,53.026112
eontop,-94.969444,74.716944
guavaconfide,-69.584722,47.764444
chiselleddessicants,-72.265556,48.52
popmatrices,-114.904167,52.429722
poundingfrustum,-92.115833,62.81139
easybobolink,-80.798889,46.625
wisefumbling,-71.691389,45.438611
compareas,-65.890278,45.316111
clucklinnet,-111.961944,60.020278
meggingswine,-84.613611,72.982222
sectionssqueaky,-63.833611,46.440556
crepegrape,-125.2425,71.993889
crepegrape,-76.526667,64.23
neckedjre,-97.864166,55.801111
micaassistant,-77.528056,44.118889
twitequiver,-81.376667,48.569721
bluetailgodwottery,-79.396167,43.627499
xslhopeful,-133.026389,69.433334
farrowcetti,-73.740833,45.470556
craytugofwar,-86.224722,66.521389
peacefulceaseless,-81.243611,68.776111
cranniescigarette,-78.835556,48.206111
singesculptor,-105.261944,55.15139
specifiedinnovative,-110.82389,53.355833
emeraldclippers,-64.031389,67.545833
tendonwench,-77.782778,48.053333
dampedbrioche,-68.426944,58.096111
snowdonevasive,-126.798219,65.281617
colonclipper,-123.184444,49.193889
bracesworkable,-108.4175,55.841944
duexslt,-81.107222,44.745834
simplicityfairy,-77.319168,45.952221
hoursethanoate,-97.239886,49.910036
flakyunlawful,-66.864444,52.921944
tendonwench,-122.054167,52.183056
showerspain,-123.436667,63.209444
showerspain,-115.781944,49.612222
lasttaiga,-113.520556,53.5725
canalhateful,-106.699722,52.170834
rappelarias,-110.720833,50.01889
hypergalaxyfibula,-120.740278,56.238056
historypant,-91.905278,50.113889
rubbishbladder,-65.713611,66.145
elatedunicorn,-79.848889,47.695
cranniescigarette,-122.678889,53.889444
cranesurgeon,-128.576219,54.468508
disjointtoday,-81.151111,43.033056
agenascientists,-122.360556,49.025278
handywrist,-135.067269,60.709553
ledgeindeed,-79.422778,46.363611
gammagot,-114.020278,51.113888
blythpulse,-127.182778,54.824722
blythpulse,-122.596944,58.836389
impetuousfurbelows,-119.602222,49.463056
guavaconfide,-63.121111,46.290001
gravelscientific,-93.576667,69.546667
strungebay,-123.425833,48.646944
analbar,-101.07611,56.863888
xslhopeful,-107.690556,50.291944
wisefumbling,-94.065,58.739167
compareas,-60.425833,53.319168
gnarledbaggy,-52.751945,47.61861
