review_text,positive
"THis book was horrible.  If it was possible to rate it lower than one star i would have.  I am an avid reader and picked this book up after my mom had gotten it from a friend.  I read half of it, suffering from a headache the entire time, and then got to the part about the relationship the 13 year old boy had with a 33 year old man and i lit this book on fire.  One less copy in the world...don't waste your money.I wish i had the time spent reading this book back so i could use it for better purposes.  THis book wasted my life",0
"I like to use the Amazon reviews when purchasing books, especially alert for dissenting perceptions about higly rated items, which usually disuades me from a selection.  So I offer this review that seriously questions the popularity of this work - I found it smug, self-serving and self-indulgent, written by a person with little or no empathy, especially for the people he castigates. For example, his portrayal of the family therapist seems implausible and reaches for effect and panders to theshrink bashers of the world. This play for effect tone throughout the book was very distasteful to me",0
"THis book was horrible.  If it was possible to rate it lower than one star i would have.  I am an avid reader and picked this book up after my mom had gotten it from a friend.  I read half of it, suffering from a headache the entire time, and then got to the part about the relationship the 13 year old boy had with a 33 year old man and i lit this book on fire.  One less copy in the world...don't waste your money.I wish i had the time spent reading this book back so i could use it for better purposes.  THis book wasted my life",0
"I'm not sure who's writing these reviews, but I read repitition after repitition after repitition, with a lot of confusing fluff. Asking hard questions to solve complex or simple issues. What's fierce about that?The writing style and content just didn't flow. Wasn't real. I mean, in one section, she actually uses the term bucko, as in, Let me tell you something, bucko. What are we in Happy Days? Couldn't take the book seriously after that. Very bad.",0
"I picked up the first book in this series (The Eyre Affair) based purely on its premise and was left somewhat underwhelmed. Still, the potential for the series seemed so large that I went ahead and read this second one too, only to be even less enchanted with the franchise. This is a pure sequel, and any newcomers are advised to read the misadventures of Thursday Next is strict order, lest one miss out of allusions to past events. Although... on further consideration, maybe it doesn't matter, since clearly anything can and will happen in this series, and Fforde isn't all that interested in keeping to a linear plotline anyway.The setting is the same as the first book, an alternate mid-1980s England in which literature is the preeminent social preoccupation. Fresh off the events of The Eyre Affair, Thursday Next (a police officer specializing in literature related crimes, such as first-edition forgeries, valuable manuscript thefts, and the like) is gritting her teeth through a new round of fame as the woman who saved Jane Eyre (and changed the ending for the better), when all she wants to do is cuddle up at home with her new husband Landen. Unfortunately, the evil Goliath Corporation has managed to use a corrupt member of the Chronogaurd (timestream police) to delete Landen from this timeline and are holding his existence hostage. In the first book Thursday imprisoned one of their top men inside Poe's The Raven, and it seems they want him back.This a potentially interesting plot, but it keeps get lost amidst all the other things Fforde throws into the mix. Most notable are a series of strange coincidences which keep coming close to killing Thursday (and are also linked to events in the first book). Another plotline concerns the discovery of a lost Shakespeare play, which looks to be the most important literary event of the century, if Thursday can authenticate it. There's also the small matter of Thursday's pregnancy. And just when one is comfortable with Thursday's role as a SpecOps Litratech, and that whole milieu, she's thrown into an entirely new one as a member of Jurisfiction, a kind of police comprised of book characters who move around in different literary works and maintain order... Finally, her father pops up to inform her that something in the timestream has gone wrong and the entire world is going to be turned into a mass of pink sludge in a few days unless he can figure it out, and can she help him. Phew!I've probably missed one or two elements, but you get the idea. Fforde is just brimming with nifty ideas, but the shame of it is that he can't stop and give any of them the attention they deserve. It's impossible to get invested in any of the plotlines when you know he's just going to move on to something else in a few pages, and it's impossible to care about the characters when their existence is utterly malleable, as is time and place. I suppose it's all meant to be puckish good fun, but the overall effect is more an attention deficit disorder Nancy Drew heroine meets a poor-man's Douglas Adams. The book has its occasional moments, but the humor is far too broad and unsubtle, and there's absolutely no narrative tension. All the literary in jokes in the world can't save this shambling wreck, and I don't think I'll be moving on to the next book.",0
"Not only do I disagree with his opinions, but some of his facts are blatently false.  On page 106 he refers to violence agains Native Americans by European settlers as isolated instances and not planned nor calculated.  Had to read it for a class and it was less then enjoyable",0
"&quot;I have received your new book against the human race, and thank you for it. Never was such cleverness used in the design of making us all stupid. One longs, in reading your book, to walk on all fours. But as I have lost that habit for more than sixty years, I feel unhappily the impossibility of resuming it. Nor can I embark in search of the savages of Canada, because the maladies to which I am condemned render a European surgeon necessary to me; because war is going on in those regions; and because the example of our actions has made the savages nearly as bad as ourselves.&quot; Voltaire (1755",0
"This book was on somebody's Amazon.com LISTMANIA for Sea Turtles, so I hunted it down.  It is only vaguely about sea turtles, in that it is set on an island in Georgia where sea turtles nest.  There is a sea turtle biologist introduced at the very beginning of the book, and then he disappears, so it's obvious that he was involved in the crime.There are way too many characters in this book to keep track of and most of them are not believable or likable.  I wish this book had at least been fun to read but it was tedious and I ended up skimming the whole thing, looking for any sign of sea turtle interaction.  Skip this book and send your $6.99 to a sea turtle hospital instead.",0
"I am not sure whatever possessed me to buy this book.  Honestly, it was a complete waste of my time.  To quote a friend, it was not the best use of my entertainment dollar.  If you are a fan of pedestrian writing, lack-luster plots and hackneyed character development, this is your book",0
"When Professor Polk describes the sweep of history in Iraq, he is at his best, but the book often descends into a political diatribe that is neither appropriate nor grounded in the facts.  Much of the political ranting is supposition, marring what would otherwise be an interesting and informative work. The ranting gets especially tedious towards the end.  My advice, read the first part and skip the last half",0
"This is a story of the lives of 5 people who attended college with the author during the early 1980s in post cultural revolution China.  The 5 people live relatively miserable lives, touched by official corruption and incompetence (with the exception of one who benefits handsomely).  China is portrayed as a country filled with desperate people lacking any morality, with widespread corruption, and widespread incompetence.  This view is difficult to reconcile with the economic development and obvious progress that has occurred there in the past 20 years.  This book is an interesting read as gossip often can be, but it is doubtful the 5 people portrayed represent present day China",0
"This is the sixth book in the Left Behind series. It is also the first one in the series I did not finish in one sitting. It did not flow as well as the others, so as to lend itself to a complete reading in one evening. The book also spends a lot of time re-telling what we read in previous books. I felt this time like I read half a novel.The book starts in the thirty-eighth month into the tribulation. But most of the characters seem a little too self serving in this book. Allowing their own desires to guide their actions. Whether that desire be derived from rage, revenge, self pity, or even guilt. Rayford spends most of his time focusing on Hattie or his desire to kill the Anti-Christ. Though I do like the description of the handgun that Rayford procures. And when the time comes for the assassination, there are a few characters to chose from.The book ends in an old time cliff hanger where you are left guessing who it is that assassinated the Anti-Christ. Stay tuned for the next volume. I have read this far, so I will finish the series. Though most people my find this book suspensful, I did not",0
